source_table,source_column,target_table,target_column,transformation_type,transformation_logic
sales_data_silver,,sales_data_gold,pk_gold_id,surrogate_key,Auto-generated sequential surrogate primary key starting from 1
sales_data_silver,product_id,sales_data_gold,product_id,passthrough,
sales_data_silver,order_id,sales_data_gold,order_id,passthrough,
sales_data_silver,customer_id,sales_data_gold,customer_id,passthrough,
sales_data_silver,order_date,sales_data_gold,order_date,passthrough,
sales_data_silver,total_amount,sales_data_gold,total_amount,passthrough,
sales_data_silver,quantity,sales_data_gold,quantity,passthrough,
sales_data_silver,sales_amount,sales_data_gold,sales_amount,passthrough,
sales_data_silver,product_name,sales_data_gold,product_name,rename,
sales_data_silver,sales_data_silver,sales_data_gold,order_count,aggregate,count(*)
sales_data_silver,sales_data_silver,sales_data_gold,total_sales_amount,aggregate,sum(total_amount)
sales_data_silver,sales_data_silver,sales_data_gold,avg_order_value,aggregate,avg(total_amount)
sales_data_silver,sales_data_silver,sales_data_gold,max_order_value,aggregate,max(total_amount)
sales_data_silver,sales_data_silver,sales_data_gold,min_order_value,aggregate,min(total_amount)
sales_data_silver,sales_data_silver,sales_data_gold,max_quantity,aggregate,max(quantity)
sales_data_silver,sales_data_silver,sales_data_gold,min_quantity,aggregate,min(quantity)
sales_data_silver,sales_data_silver,sales_data_gold,avg_quantity,aggregate,avg(quantity)
sales_data_silver,sales_data_silver,sales_data_gold,max_sales_amount,aggregate,max(sales_amount)
sales_data_silver,sales_data_silver,sales_data_gold,min_sales_amount,aggregate,min(sales_amount)
sales_data_silver,sales_data_silver,sales_data_gold,avg_sales_amount,aggregate,avg(sales_amount)
sales_data_silver,sales_data_silver,sales_data_gold,join_sales_data_silver,join,sales_data_silver.order_id = sales_data_silver_join.order_id
